"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\TaskFlow\src\features\tasks\api\getTasks.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\TaskFlow\src\features\tasks\api\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\TaskFlow\src\features\tasks\api\updateTask.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\TaskFlow\src\features\tasks\components\SortableTaskCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"c:\TaskFlow\src\features\tasks\components\TaskCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 24, 10, 116
"c:\TaskFlow\src\features\tasks\components\TaskDeadline.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"c:\TaskFlow\src\features\tasks\components\TaskDescription.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
"c:\TaskFlow\src\features\tasks\components\TaskDetailsHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 19, 323
"c:\TaskFlow\src\features\tasks\components\TaskFormInputs.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\TaskFlow\src\features\tasks\components\TaskFormSelectors.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"c:\TaskFlow\src\features\tasks\components\TaskList.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
"c:\TaskFlow\src\features\tasks\components\TaskSortControl.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 3, 80
"c:\TaskFlow\src\features\tasks\components\TaskStatusSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 3, 89
"c:\TaskFlow\src\features\tasks\components\TaskTimestamps.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\TaskFlow\src\features\tasks\components\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\TaskFlow\src\features\tasks\data\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\features\tasks\data\taskOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 8, 77
"c:\TaskFlow\src\features\tasks\hooks\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\tasks\hooks\useTaskSorter.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 8, 113
"c:\TaskFlow\src\features\tasks\hooks\useTaskUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 65
"c:\TaskFlow\src\features\tasks\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\TaskFlow\src\features\tasks\modals\CreateTaskModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 6, 138
"c:\TaskFlow\src\features\tasks\modals\DeleteTaskModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 6, 95
"c:\TaskFlow\src\features\tasks\modals\TaskDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 13, 121
"c:\TaskFlow\src\features\tasks\modals\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\TaskFlow\src\features\tasks\store\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\features\tasks\store\taskStore.js", "JavaScript", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 27, 261
"c:\TaskFlow\src\features\user\api\createUser.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\TaskFlow\src\features\user\api\createUserConfirm.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\TaskFlow\src\features\user\api\deleteUser.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\TaskFlow\src\features\user\api\deleteUserConfirm.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\TaskFlow\src\features\user\api\getUser.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\TaskFlow\src\features\user\api\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\TaskFlow\src\features\user\api\updateUser.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\TaskFlow\src\features\user\api\updateUserConfirm.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\TaskFlow\src\features\user\components\ToggleTheme.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 12, 84
"c:\TaskFlow\src\features\user\components\UpdateConfirmation.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 35
"c:\TaskFlow\src\features\user\components\UpdateForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 13, 2, 83
"c:\TaskFlow\src\features\user\components\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\user\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\user\modals\DeleteUserModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 7, 188
"c:\TaskFlow\src\features\user\modals\LogoutUserModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 5, 88
"c:\TaskFlow\src\features\user\modals\UpdateUserModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 13, 176
"c:\TaskFlow\src\features\user\modals\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
